geometry,u,v,key,oneway,length,n_trafficLights,n_giveWaySignal,n_stopSignal,n_pedestrianCrossings,n_cyclingPath,n_cycleParking,n_parkingLeft,n_parkingRight,n_roundaboutNearBy,n_streetLighting_segments,p_pTStop,mean_zonalSpeed,roadType_tertiary,roadType_residential,roadType_primary,roadType_unavailable,roadType_living_street,roadType_pedestrian,roadType_secondary,roadType_primary_link,roadType_service,roadType_secondary_link,roadType_tertiary_link,surfaceType_asphalt,surfaceType_unavailable,surfaceType_sett,surfaceType_paving_stones,surfaceType_paving_stones:20,surfaceType_cobblestone,surfaceType_paving_stones:30,surfaceType_unhewn_cobblestone,surfaceType_paved,numberOfLanes,maxSpeed,accidents_noSeverity,accidents_mild,accidents_severe,accidents_deceased,total_accidents_pedestrian,total_accidents_motorcycle,total_accidents_bicycle,total_accidents,total_accidents_VRU,travelDemand_micro,travelDemand_privateVehicle,n_cornering_right,mean_avg_magnitude_cornering_right,mean_max_magnitude_cornering_right,n_cornering_left,mean_avg_magnitude_cornering_left,mean_max_magnitude_cornering_left,n_brake,mean_avg_magnitude_brake,mean_max_magnitude_brake,n_speedup,mean_avg_magnitude_speedup,mean_max_magnitude_speedup
"LINESTRING (-3.6915366 40.4173152, -3.6915288096000003 40.417090414499995, -3.6915155903999994 40.4167089855, -3.6915078000000006 40.41648419999999)",4835,4826,0,True,92.41196102143694,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,30.0,0,0,0,0,0,0,0,0,0,127.15055361812482,13174,909,2213,3336,1743,151,2377,375,2486,3533,1,123,233
"LINESTRING (-3.688968499999999 40.41475479999998, -3.6891934200699996 40.41475371600999, -3.6900931964457033 40.41474937958688, -3.690175279929999 40.41474898399, -3.690400199999999 40.4147479)",10,12,0,True,159.11955723431274,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,50.0,0,0,0,0,0,0,0,0,0,132.968527796835,17184,1317,945,3276,831,2540,856,1281,270,1152,0,680,413
"LINESTRING (-3.690400199999999 40.4147479, -3.6903918986999993 40.414523089540005, -3.6903790012999993 40.41417381045999, -3.6903707000000003 40.413949)",12,4816,0,True,88.8494589086185,0,0,0,1,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,30.0,0,0,0,0,0,0,0,0,0,163.97577957511857,5067,1186,1272,965,371,124,1036,625,3193,2725,2,37,931
"LINESTRING (-3.690400199999999 40.4147479, -3.6906251261151333 40.414746320112314, -3.6914822 40.4147403, -3.691482871787268 40.414783011527405, -3.6914862626050646 40.41499859615354, -3.6914898000000003 40.41522349999999)",12,4812,0,True,173.96781599753942,0,1,0,3,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1.0,50.0,1,0,0,0,0,0,0,1,0,222.88204601876595,24199,451,1735,390,573,2528,247,480,2655,2217,1,415,261
"LINESTRING (-3.6904262999999995 40.4151754, -3.6904061000000006 40.41508939999999, -3.6904040511267113 40.41497080843597, -3.690400199999999 40.4147479)",4815,12,0,True,47.7777057296686,0,0,0,2,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,50.0,0,0,0,0,0,0,0,0,0,163.97577957511857,36805,349,1983,1528,973,1365,112,1432,457,823,5,84,594
"LINESTRING (-3.6903707000000003 40.413949, -3.6903623994 40.41372420620001, -3.6903594006000002 40.4136429938, -3.6903511 40.4134182)",4816,4817,0,True,59.03278537145108,0,0,0,2,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,30.0,0,0,0,0,0,0,0,0,0,163.97577957511857,46295,1357,773,442,1457,31,2951,752,1483,920,3,564,111
"LINESTRING (-3.6903707000000003 40.413949, -3.6901458028000005 40.4139544036, -3.6892462885861605 40.41397601620791, -3.6891721972 40.4139777964, -3.6889473 40.4139832)",4816,11,0,True,158.24090970212382,0,0,0,2,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,50.0,0,0,0,0,0,0,0,0,0,147.9461225293734,13010,1092,1172,697,1252,448,2804,1012,1712,2525,0,84,490
"LINESTRING (-3.6914578999999996 40.4133979, -3.6914624334216617 40.41362284183977, -3.6914676 40.4138792, -3.6914310999999995 40.4139086, -3.6913536000000002 40.413932, -3.6908381742090324 40.413940914679465, -3.6905946986555067 40.41394512577358, -3.6903707000000003 40.413949)",4830,4816,0,True,177.06563747722916,0,0,0,2,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1.0,30.0,3,1,0,0,0,1,0,4,1,257.6795192074616,46341,11,979,2738,1014,891,2982,237,1502,1909,0,93,453
"LINESTRING (-3.6914898000000003 40.41522349999999, -3.6912649144799996 40.41522655235, -3.69094108552 40.41523094764999, -3.6907161999999993 40.415234)",4812,4813,0,True,85.98504955113707,0,1,0,1,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.0,50.0,0,0,0,0,0,0,0,0,0,234.99101959005296,23430,803,743,3244,944,1528,2617,653,1729,2551,5,263,314
"LINESTRING (-3.6915097 40.41582699999999, -3.69150228725 40.415602196249985, -3.6914972127500003 40.41544830375, -3.6914898000000003 40.41522349999999)",4824,4812,0,True,67.11128497346355,0,1,0,2,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,30.0,0,0,0,0,0,0,0,0,0,127.15055361812482,40161,864,1070,2647,1021,617,834,793,536,1563,5,713,669
