Model,Preprocessing,Recall,Precision,Accuracy
RandomForest,Undersampling,0.875,0.522,0.811
RandomForest,Normalization + Undersampling,0.85,0.515,0.806
SVC,No preprocessing,0.825,0.569,0.837
RandomForest,Undersampling,0.815,0.679,0.811
GradientBoosting,Undersampling,0.815,0.654,0.796
